player_id,player_name,season,competition_id,competition_name,country_name,age,position,sub_position,nationality,foot,height_in_cm,current_club_id,current_club_name,games_played,season_minutes,minutes_per_game,minutes_volatility,market_value_in_eur,highest_market_value_in_eur
104511,Alan Chochiev,2015-2016,RU1,premier-liga,Russia,25,Midfield,Attacking Midfield,Russia,right,180,2696,PFK Krylya Sovetov Samara,19,1012.0,53.26315789473684,35.65011567894889,200000,1000000
187298,Luciano Slagveer,2016-2017,NL1,eredivisie,Netherlands,24,Attack,Right Winger,Suriname,right,179,1283,FC Emmen,27,1033.0,38.25925925925926,31.594177373303257,325000,1500000
340328,Stephy Mavididi,2022-2023,FR1,ligue-1,France,25,Attack,Left Winger,England,right,182,1003,Leicester City,26,1290.0,49.61538461538461,26.5881363409104,9000000,10000000
133964,Lorenzo Insigne,2012-2013,IT1,serie-a,Italy,22,Attack,Left Winger,Italy,right,163,6195,Società Sportiva Calcio Napoli,37,1757.0,47.486486486486484,30.94338476360005,8000000,75000000
235230,Samy Bourard,2020-2021,NL1,eredivisie,Netherlands,25,Midfield,Attacking Midfield,Belgium,right,180,1268,ADO Den Haag,17,927.0,54.529411764705884,18.76516687613711,450000,450000
187298,Luciano Slagveer,2013-2014,NL1,eredivisie,Netherlands,21,Attack,Right Winger,Suriname,right,179,1283,FC Emmen,25,1240.0,49.6,30.423674991690266,325000,1500000
197622,Farley Rosa,2016-2017,GR1,super-league-1,Greece,23,Attack,Left Winger,Brazil,right,174,6418,Panetolikos Agrinio,20,1189.0,59.45,30.152072897232124,900000,900000
156115,Valeri Qazaishvili,2015-2016,NL1,eredivisie,Netherlands,23,Attack,Left Winger,Georgia,right,174,499,Vitesse Arnhem,33,2648.0,80.24242424242425,18.75686589933065,1700000,3500000
255450,Aleksey Miranchuk,2018-2019,RU1,premier-liga,Russia,24,Midfield,Attacking Midfield,Russia,left,182,800,Atalanta Bergamasca Calcio S.p.a.,30,2637.0,87.9,4.777377244193026,10000000,18000000
566723,Michael Olise,2024-2025,L1,bundesliga,Germany,24,Attack,Right Winger,France,left,184,27,FC Bayern München,20,1473.0,73.65,17.550712236259812,55000000,55000000
263860,Jason Remeseiro,2018-2019,ES1,laliga,Spain,25,Attack,Right Winger,Spain,right,178,8024,Futebol Clube de Arouca,30,2332.0,77.73333333333333,23.99296193099598,3000000,6000000
435772,Charles De Ketelaere,2023-2024,IT1,serie-a,Italy,23,Midfield,Attacking Midfield,Belgium,left,192,800,Atalanta Bergamasca Calcio S.p.a.,35,2042.0,58.34285714285714,21.138918552069317,34000000,34000000
289075,Oleksandr Zubkov,2018-2019,UKR1,premier-liga,Ukraine,23,Attack,Right Winger,Ukraine,left,182,660,FC Shakhtar Donetsk,14,962.0,68.71428571428571,25.666622493115092,7000000,7000000
159372,Felipe Anderson,2015-2016,IT1,serie-a,Italy,23,Attack,Left Winger,Brazil,right,175,398,Società Sportiva Lazio S.p.A.,35,2068.0,59.08571428571429,29.68922019720908,8000000,45000000
294853,Sebastián Driussi,2019-2020,RU1,premier-liga,Russia,24,Midfield,Attacking Midfield,Argentina,both,179,964,AO FK Zenit Sankt-Peterburg,20,1348.0,67.4,25.611325619733158,15000000,16000000
464535,Zisis Chatzistravos,2023-2024,GR1,super-league-1,Greece,25,Midfield,Attacking Midfield,Greece,right,170,3385,Panserraikos Serres,18,1065.0,59.166666666666664,25.545710664088666,500000,500000
103565,Wahbi Khazri,2014-2015,FR1,ligue-1,France,24,Attack,Left Winger,Tunisia,right,176,969,Montpellier HSC,32,2381.0,74.40625,19.16516921233674,1800000,16000000
170527,Timo Werner,2019-2020,L1,bundesliga,Germany,24,Attack,Left Winger,Germany,right,180,148,Tottenham Hotspur Football Club,34,2808.0,82.58823529411765,12.518498423060414,17000000,80000000
381834,Konstantin Kuchaev,2021-2022,RU1,premier-liga,Russia,24,Midfield,Attacking Midfield,Russia,right,178,49702,FK Nizhny Novgorod,22,1071.0,48.68181818181818,34.48370677664818,2000000,5000000
110078,Eduardo,2012-2013,PO1,liga-portugal-bwin,Portugal,24,Midfield,Attacking Midfield,Brazil,right,184,417,Olympique Gymnaste Club Nice Côte d'Azur,29,1609.0,55.48275862068966,28.796097304603954,1500000,6000000
177818,Andriy Bliznichenko,2017-2018,TR1,super-lig,Turkey,24,Attack,Right Winger,Ukraine,left,179,26459,NK Veres Rivne,21,1237.0,58.904761904761905,28.57888791515723,200000,1000000
435605,Cristopher Núñez,2021-2022,GR1,super-league-1,Greece,25,Midfield,Attacking Midfield,Costa Rica,right,171,3999,PAS Lamia 1964,23,1550.0,67.3913043478261,26.232636709516246,500000,500000
502670,Khvicha Kvaratskhelia,2022-2023,IT1,serie-a,Italy,22,Attack,Left Winger,Georgia,both,183,583,Paris Saint-Germain Football Club,34,2539.0,74.67647058823529,16.648124056543914,80000000,85000000
422281,Muhammed Cham,2024-2025,TR1,super-lig,Turkey,25,Midfield,Attacking Midfield,Austria,left,180,449,Trabzonspor Kulübü,31,1546.0,49.87096774193548,32.39050232705506,6000000,6000000
