player,squad,comp,minutes
Max Kilman,Wolves,eng Premier League,3420.0
Jan Oblak,Atlético Madrid,es La Liga,3420.0
William Saliba,Arsenal,eng Premier League,3420.0
José Luis García Vayá,Valencia,es La Liga,3302.0
Giorgi Mamardashvili,Valencia,es La Liga,3284.0
Álex Remiro,Real Sociedad,es La Liga,3275.0
Gleison Bremer,Juventus,it Serie A,3233.0
Declan Rice,Arsenal,eng Premier League,3225.0
Emerson Palmieri,West Ham United,eng Premier League,3137.0
Martin Ødegaard,Arsenal,eng Premier League,3091.0
Cristhian Mosquera,Valencia,es La Liga,3075.0
Marcin Bułka,Nice,fr Ligue 1,3060.0
Noah Atubolu,Freiburg,de Bundesliga,3060.0
Antonio Sivera,Alavés,es La Liga,3060.0
Steve Mandanda,Rennes,fr Ligue 1,3060.0
Yehvann Diouf,Reims,fr Ligue 1,3060.0
Marvin Schwäbe,Köln,de Bundesliga,3060.0
Oliver Baumann,Hoffenheim,de Bundesliga,3060.0
Jeremías Ledesma,Cádiz,es La Liga,3048.0
Gabriel Magalhães,Arsenal,eng Premier League,3044.0
Maxence Caqueret,Lyon,fr Ligue 1,3022.0
Ben White,Arsenal,eng Premier League,2988.0
Alexandre Oukidja,Metz,fr Ligue 1,2987.0
Hugo Duro,Valencia,es La Liga,2976.0
Sávio,Girona,es La Liga,2976.0
Brendan Chardonnet,Brest,fr Ligue 1,2970.0
Frederik Rønnow,Union Berlin,de Bundesliga,2970.0
Brice Samba,Lens,fr Ligue 1,2970.0
Kenny Lala,Brest,fr Ligue 1,2970.0
Lucas Chevalier,Lille,fr Ligue 1,2969.0
Bradley Locko,Brest,fr Ligue 1,2959.0
Pau López,Marseille,fr Ligue 1,2939.0
Son Heung-min,Tottenham Hotspur,eng Premier League,2934.0
Ander Guevara,Alavés,es La Liga,2932.0
Ohis Felix Uduokhai,Augsburg,de Bundesliga,2921.0
Bukayo Saka,Arsenal,eng Premier League,2919.0
Maximilian Eggestein,Freiburg,de Bundesliga,2914.0
Waldemar Anton,Stuttgart,de Bundesliga,2886.0
David Raya,Arsenal,eng Premier League,2880.0
Marco Bizot,Brest,fr Ligue 1,2876.0
Ermedin Demirović,Augsburg,de Bundesliga,2873.0
Nico Schlotterbeck,Dortmund,de Bundesliga,2859.0
Andoni Gorosabel,Alavés,es La Liga,2854.0
Dante,Nice,fr Ligue 1,2843.0
Harry Kane,Bayern Munich,de Bundesliga,2839.0
Sepp van den Berg,Mainz 05,de Bundesliga,2839.0
Isaac Palazón Camacho,Rayo Vallecano,es La Liga,2791.0
Finn Dahmen,Augsburg,de Bundesliga,2790.0
Anthony Lopes,Lyon,fr Ligue 1,2790.0
Andre-Frank Zambo Anguissa,Napoli,it Serie A,2786.0
Álex Grimaldo,Leverkusen,de Bundesliga,2784.0
Axel Witsel,Atlético Madrid,es La Liga,2783.0
Yunis Abdelhamid,Reims,fr Ligue 1,2781.0
Timo Hübers,Köln,de Bundesliga,2778.0
Toti Gomes,Wolves,eng Premier League,2772.0
Julian Weigl,Gladbach,de Bundesliga,2764.0
Facundo Medina,Lens,fr Ligue 1,2714.0
Junya Ito,Reims,fr Ligue 1,2714.0
Julian Chabot,Köln,de Bundesliga,2703.0
Diogo Leite,Union Berlin,de Bundesliga,2702.0
Matthieu Udol,Metz,fr Ligue 1,2700.0
Robin Zentner,Mainz 05,de Bundesliga,2700.0
Alexander Nübel,Stuttgart,de Bundesliga,2700.0
Youssouf Fofana,Monaco,fr Ligue 1,2697.0
Marvin Ducksch,Werder Bremen,de Bundesliga,2696.0
Angelo Stiller,Stuttgart,de Bundesliga,2694.0
Danley Jean-Jacques,Metz,fr Ligue 1,2682.0
Jon Guridi,Alavés,es La Liga,2678.0
Lilian Brassier,Brest,fr Ligue 1,2677.0
Leny Yoro,Lille,fr Ligue 1,2673.0
Diego López,Valencia,es La Liga,2656.0
Kevin Danso,Lens,fr Ligue 1,2655.0
Melvin Bard,Nice,fr Ligue 1,2654.0
Martín Zubimendi,Real Sociedad,es La Liga,2654.0
Jean-Clair Todibo,Nice,fr Ligue 1,2651.0
Jonas Wind,Wolfsburg,de Bundesliga,2651.0
Antoine Griezmann,Atlético Madrid,es La Liga,2644.0
Mitchell Weiser,Werder Bremen,de Bundesliga,2636.0
Kai Havertz,Arsenal,eng Premier League,2634.0
Jonathan David,Lille,fr Ligue 1,2629.0
Atakan Karazor,Stuttgart,de Bundesliga,2623.0
Pierre-Emerick Aubameyang,Marseille,fr Ligue 1,2622.0
Isaac Carcelen,Cádiz,es La Liga,2611.0
Leandro Barreiro Martins,Mainz 05,de Bundesliga,2606.0
Jan-Niklas Beste,Heidenheim,de Bundesliga,2603.0
Romano Schmid,Werder Bremen,de Bundesliga,2601.0
Florian Sotoca,Lens,fr Ligue 1,2598.0
Emmanuel Agbadou,Reims,fr Ligue 1,2596.0
Pedro Chirivella,Nantes,fr Ligue 1,2594.0
Jeffrey Gouweleeuw,Augsburg,de Bundesliga,2593.0
Anthony Jung,Werder Bremen,de Bundesliga,2579.0
Angel Gomes,Lille,fr Ligue 1,2571.0
Benjamin André,Lille,fr Ligue 1,2570.0
Chris Führich,Stuttgart,de Bundesliga,2567.0
Marcos Llorente,Atlético Madrid,es La Liga,2565.0
Mario Hermoso,Atlético Madrid,es La Liga,2557.0
Catena,Osasuna,es La Liga,2534.0
Igor Zubeldia,Real Sociedad,es La Liga,2518.0
Pierre Lees-Melou,Brest,fr Ligue 1,2517.0
Maximilian Arnold,Wolfsburg,de Bundesliga,2506.0
Luis Rioja,Alavés,es La Liga,2498.0
Javier Guerra,Valencia,es La Liga,2498.0
Romain Del Castillo,Brest,fr Ligue 1,2497.0
Alban Lafont,Nantes,fr Ligue 1,2496.0
Koke,Atlético Madrid,es La Liga,2493.0
